"GO","GO_definition","GO_ontology","GO_term"
"GO:0070295","A renal system process in which water is taken up from the collecting ducts and proximal and distal loops of the nephron. In non-mammalian species, absorption may occur in related structures.","BP","renal water absorption"
"GO:0070301","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus.","BP","cellular response to hydrogen peroxide"
"GO:0071241","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inorganic substance stimulus.","BP","cellular response to inorganic substance"
"GO:0071280","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a copper ion stimulus.","BP","cellular response to copper ion"
"GO:0071288","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mercury ion stimulus.","BP","cellular response to mercury ion"
"GO:0071300","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus.","BP","cellular response to retinoic acid"
"GO:0071320","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate) stimulus.","BP","cellular response to cAMP"
"GO:0071456","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level.","BP","cellular response to hypoxia"
"GO:0071472","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.","BP","cellular response to salt stress"
"GO:0072220","The process whose specific outcome is the progression of the metanephric descending thin limb over time, from its formation to the mature structure. The metanephric descending thin limb is a part of the metanephric loop of Henle situated just after the proximal straight tubule (S3). It extends to the tip of the metanephric loop of Henle.","BP","metanephric descending thin limb development"
"GO:0072230","The process whose specific outcome is the progression of the metanephric proximal straight tubule over time, from its formation to the mature structure. The metanephric proximal straight tubule is the part of the metanephric descending limb that extends from the metanephric proximal convoluted tubule to the metanephric descending thin tubule.","BP","metanephric proximal straight tubule development"
"GO:0072232","The process whose specific outcome is the progression of the S2 portion of the metanephric proximal convoluted tubule over time, from its formation to the mature structure. The S2 portion of the metanephric proximal tubule is involved in reabsorption of water and sodium chloride.","BP","metanephric proximal convoluted tubule segment 2 development"
"GO:0072239","The biological process whose specific outcome is the progression of a metanephric glomerulus vasculature from an initial condition to its mature state. This process begins with the formation of the metanephric glomerulus vasculature and ends with the mature structure. The metanephric glomerulus vasculature is composed of the tubule structures that carry blood or lymph in the metanephric glomerulus.","BP","metanephric glomerulus vasculature development"
"GO:0085018","The process in which a host organism maintains the structure and function of a symbiont-containing vacuole. The symbiont-containing vacuole is a membrane-bounded vacuole within a host cell in which a symbiont organism resides, and can serve to reduce pathogenicity of invading symbionts by restricting them to the vacuolar compartment.","BP","maintenance of symbiont-containing vacuole by host"
"GO:0010964","Any process that modulates the frequency, rate or extent of heterochromatin assembly by small RNA.","BP","regulation of heterochromatin assembly by small RNA"
"GO:0032776","The covalent transfer of a methyl group to C-5 or N-4 of cytosine in a DNA molecule.","BP","DNA methylation on cytosine"
"GO:0004160","Catalysis of the reaction: 2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H2O.","MF","dihydroxy-acid dehydratase activity"
"GO:0009082","The chemical reactions and pathways resulting in the formation of amino acids containing a branched carbon skeleton, comprising isoleucine, leucine and valine.","BP","branched-chain amino acid biosynthetic process"
"GO:0009097","The chemical reactions and pathways resulting in the formation of isoleucine, (2R*,3R*)-2-amino-3-methylpentanoic acid.","BP","isoleucine biosynthetic process"
"GO:0009099","The chemical reactions and pathways resulting in the formation of valine, 2-amino-3-methylbutanoic acid.","BP","valine biosynthetic process"
"GO:0009733","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus.","BP","response to auxin"
"GO:1900140",NA,"BP","regulation of seedling development"
"GO:0001843","The last step in the formation of the neural tube, where the paired neural folds are brought together and fuse at the dorsal midline.","BP","neural tube closure"
"GO:0003344","The process in which the anatomical structure of the pericardium is generated and organized.","BP","pericardium morphogenesis"
"GO:0005041","Combining with a low-density lipoprotein particle and delivering the low-density lipoprotein particle into the cell via endocytosis.","MF","low-density lipoprotein particle receptor activity"
"GO:0005102","Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.","MF","signaling receptor binding"
"GO:0005109","Interacting selectively and non-covalently with a frizzled (fz) receptor.","MF","frizzled binding"
"GO:0009880","The process that results in the patterns of cell differentiation that will arise in an embryo.","BP","embryonic pattern specification"
"GO:0009986","The external part of the cell wall and/or plasma membrane.","CC","cell surface"
"GO:0014029","The formation of the specialized region of ectoderm between the neural ectoderm (neural plate) and non-neural ectoderm. The neural crest gives rise to the neural crest cells that migrate away from this region as neural tube formation procedes.","BP","neural crest formation"
"GO:0014033","The process in which a relatively unspecialized cell acquires specialized features of a neural crest cell.","BP","neural crest cell differentiation"
"GO:0016055","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state.","BP","Wnt signaling pathway"
"GO:0017147","Interacting selectively and non-covalently with Wnt-protein, a secreted growth factor involved in signaling.","MF","Wnt-protein binding"
"GO:0019210","Stops, prevents or reduces the activity of a kinase, an enzyme which catalyzes of the transfer of a phosphate group, usually from ATP, to a substrate molecule.","MF","kinase inhibitor activity"
"GO:0019534","Enables the transfer of a toxin from one side of a membrane to the other. A toxin is a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism.","MF","toxin transmembrane transporter activity"
"GO:0021587","The process in which the anatomical structure of the cerebellum is generated and organized. The cerebellum is the portion of the brain in the back of the head between the cerebrum and the pons. The cerebellum controls balance for walking and standing, modulates the force and range of movement and is involved in the learning of motor skills.","BP","cerebellum morphogenesis"
"GO:0021794","The process in which the thalamus changes over time, from its initial formation to its mature state.","BP","thalamus development"
"GO:0030917","The process whose specific outcome is the progression of the midbrain-hindbrain boundary over time, from its formation to the mature structure. The midbrain-hindbrain domain of the embryonic brain is comprised of the mesencephalic vesicle and the first rhombencephalic vesicle at early somitogenesis stages.","BP","midbrain-hindbrain boundary development"
"GO:0031901","The lipid bilayer surrounding an early endosome.","CC","early endosome membrane"
"GO:0034185","Interacting selectively and non-covalently with an apolipoprotein, the protein component of a lipoprotein complex.","MF","apolipoprotein binding"
"GO:0034392","Any process that stops, prevents, or reduces the frequency, rate, or extent of smooth muscle cell apoptotic process.","BP","negative regulation of smooth muscle cell apoptotic process"
"GO:0035261","The process in which the anatomical structures of the external genitalia are generated and organized. The external genitalia are the outer sex organs, such as the penis or vulva in mammals.","BP","external genitalia morphogenesis"
"GO:0042475","The process whose specific outcome is the progression of a dentin-containing tooth over time, from its formation to the mature structure. A dentin-containing tooth is a hard, bony organ borne on the jaw or other bone of a vertebrate, and is composed mainly of dentin, a dense calcified substance, covered by a layer of enamel.","BP","odontogenesis of dentin-containing tooth"
"GO:0042813","Combining with a Wnt protein and transmitting the signal across the plasma membrane to initiate a change in cell activity.","MF","Wnt-activated receptor activity"
"GO:0043235","Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.","CC","receptor complex"
"GO:0043434","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals.","BP","response to peptide hormone"
"GO:0044332","The series of molecular signals initiated by binding of Wnt protein to a frizzled family receptor on the surface of the target cell contributing to the establishment, maintenance and elaboration of the dorsal/ventral axis.","BP","Wnt signaling pathway involved in dorsal/ventral axis specification"
"GO:0044335","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes involved in neural crest cell differentiation.","BP","canonical Wnt signaling pathway involved in neural crest cell differentiation"
"GO:0044340","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes that contributes to modulating the rate or frequency of cell proliferation.","BP","canonical Wnt signaling pathway involved in regulation of cell proliferation"
"GO:0045202","The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane.","CC","synapse"
"GO:0045787","Any process that activates or increases the rate or extent of progression through the cell cycle.","BP","positive regulation of cell cycle"
"GO:0051091","Any process that activates or increases the frequency, rate or extent of activity of a transcription factor, any factor involved in the initiation or regulation of transcription.","BP","positive regulation of DNA-binding transcription factor activity"
"GO:0060021","The biological process whose specific outcome is the progression of the roof of the mouth from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure. The roof of the mouth is the partition that separates the nasal and oral cavities.","BP","roof of mouth development"
"GO:0060026","The morphogenetic process in which an epithelium narrows along one axis and lengthens in a perpendicular axis.","BP","convergent extension"
"GO:0060059","The process in which the anatomical structure of the retina is generated and organized in a camera-type eye during the embryonic life stage.","BP","embryonic retina morphogenesis in camera-type eye"
"GO:0060070","The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes. In this pathway, the activated receptor signals via downstream effectors that result in the inhibition of beta-catenin phosphorylation, thereby preventing degradation of beta-catenin. Stabilized beta-catenin can then accumulate and travel to the nucleus to trigger changes in transcription of target genes.","BP","canonical Wnt signaling pathway"
"GO:0060325","The process in which the anatomical structures of the face are generated and organized. The face is the ventral division of the head.","BP","face morphogenesis"
"GO:0060535","The process in which the anatomical structures of cartilage in the trachea are generated and organized.","BP","trachea cartilage morphogenesis"
"GO:0060828","Any process that modulates the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes.","BP","regulation of canonical Wnt signaling pathway"
"GO:0071397","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cholesterol stimulus.","BP","cellular response to cholesterol"
"GO:0071542","The process in which a neuroblast acquires the specialized structural and functional features of a dopaminergic neuron, a neuron that secretes dopamine.","BP","dopaminergic neuron differentiation"
"GO:0071936","In cooperation with a primary Wnt receptor, initiating a change in cell activity through the Wnt signaling pathway.","MF","coreceptor activity involved in Wnt signaling pathway"
"GO:0090009","The developmental process pertaining to the initial formation of the primitive streak from unspecified parts. The primitive streak is a ridge of cells running along the midline of the embryo where the mesoderm ingresses. It defines the anterior-posterior axis.","BP","primitive streak formation"
"GO:0090090","Any process that decreases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes.","BP","negative regulation of canonical Wnt signaling pathway"
"GO:0090118","A receptor-mediated endocytosis process involved in intracellular cholesterol transport.","BP","receptor-mediated endocytosis involved in cholesterol transport"
"GO:0090244","The series of molecular signals initiated by binding of Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state that contributes to somitogenesis.","BP","Wnt signaling pathway involved in somitogenesis"
"GO:0090245","The developmental growth that results in the elongation of the rostral-caudal axis that contributes to somitogenesis.","BP","axis elongation involved in somitogenesis"
"GO:0090263","Any process that increases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes.","BP","positive regulation of canonical Wnt signaling pathway"
"GO:1901998",NA,"BP","toxin transport"
"GO:1904886",NA,"BP","beta-catenin destruction complex disassembly"
"GO:1904928",NA,"MF","coreceptor activity involved in canonical Wnt signaling pathway"
"GO:1904948",NA,"BP","midbrain dopaminergic neuron differentiation"
"GO:1904953",NA,"BP","Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation"
"GO:1990851",NA,"CC","Wnt-Frizzled-LRP5/6 complex"
"GO:1990909",NA,"CC","Wnt signalosome"
"GO:2000055",NA,"BP","positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification"
"GO:0000338","The removal of a ubiquitin-like protein of the NEDD8 type from a protein.","BP","protein deneddylation"
"GO:0008180","A protein complex that catalyzes the deneddylation of proteins, including the cullin component of SCF ubiquitin E3 ligase; deneddylation increases the activity of cullin family ubiquitin ligases. The signalosome is involved in many regulatory process, including some which control development, in many species; also regulates photomorphogenesis in plants; in many species its subunits are highly similar to those of the proteasome.","CC","COP9 signalosome"
"GO:0045910","Any process that stops, prevents, or reduces the frequency, rate or extent of DNA recombination.","BP","negative regulation of DNA recombination"
"GO:0007029","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endoplasmic reticulum.","BP","endoplasmic reticulum organization"
"GO:0007021","The aggregation and bonding together of alpha- and beta-tubulin to form a tubulin heterodimer.","BP","tubulin complex assembly"
"GO:0007023","Completion of folding of alpha- and beta-tubulin; takes place subsequent to chaperonin-mediated partial folding; mediated by a complex of folding cofactors.","BP","post-chaperonin tubulin folding pathway"
"GO:0048487","Interacting selectively and non-covalently with the microtubule constituent protein beta-tubulin.","MF","beta-tubulin binding"
"GO:0070084","The protein modification process in which the translation-initiating methionine or formylmethionine residue is removed from a protein.","BP","protein initiator methionine removal"
"GO:0003951","Catalysis of the reaction: ATP + NAD(+) = ADP + 2 H(+) + NADP(+).","MF","NAD+ kinase activity"
"GO:0009443","Any process that generates pyridoxal 5'-phosphate, the active form of vitamin B6, from derivatives of it without de novo synthesis.","BP","pyridoxal 5'-phosphate salvage"
"GO:0042821","The chemical reactions and pathways resulting in the formation of 3-hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxaldehyde, one of the vitamin B6 compounds.","BP","pyridoxal biosynthetic process"
"GO:0050236","Catalysis of the reaction: NADP(+) + pyridoxine = H(+) + NADPH + pyridoxal.","MF","pyridoxine:NADP 4-dehydrogenase activity"
"GO:1990481",NA,"BP","mRNA pseudouridine synthesis"
"GO:0032147","Any process that initiates the activity of an inactive protein kinase.","BP","activation of protein kinase activity"
"GO:0030599","Catalysis of the reaction: pectin + n H2O = n methanol + pectate.","MF","pectinesterase activity"
"GO:0042545","The series of events leading to chemical and structural alterations of an existing cell wall that can result in loosening, increased extensibility or disassembly.","BP","cell wall modification"
"GO:0045330","Catalysis of the hydrolysis of an ester bond by a mechanism involving a catalytically active aspartic acid residue.","MF","aspartyl esterase activity"
"GO:0045488","The chemical reactions and pathways involving pectin, a group of galacturonic acid-containing, water-soluble colloidal carbohydrates of high molecular weight and of net negative charge.","BP","pectin metabolic process"
"GO:0050829","Reactions triggered in response to the presence of a Gram-negative bacterium that act to protect the cell or organism.","BP","defense response to Gram-negative bacterium"
"GO:0015098","Enables the transfer of molybdate (MoO4 2-) ions from one side of a membrane to the other. Molybdate is the bivalent anion derived from molybdic acid.","MF","molybdate ion transmembrane transporter activity"
"GO:0015689","The directed movement of molybdate (MoO4 2-) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Molybdate is the bivalent anion derived from molybdic acid.","BP","molybdate ion transport"
"GO:0009380","Any of the protein complexes formed by the UvrABC excinuclease system, which carries out nucleotide excision repair. Three different complexes are formed by the 3 proteins as they proceed through the excision repair process. First a complex consisting of two A subunits and two B subunits bind DNA and unwind it around the damaged site. Then, the A subunits disassociate leaving behind a stable complex between B subunits and DNA. Now, subunit C binds to this B+DNA complex and causes subunit B to nick the DNA on one side of the complex while subunit C nicks the DNA on the other side of the complex. DNA polymerase I and DNA ligase can then repair the resulting gap.","CC","excinuclease repair complex"
"GO:0005655","A ribonuclease P complex located in the nucleolus of a eukaryotic cell, where it catalyzes the 5' endonucleolytic cleavage of precursor tRNAs to yield mature tRNAs. Eukaryotic nucleolar ribonuclease P complexes generally contain a single RNA molecule that is necessary but not sufficient for catalysis, and several protein molecules.","CC","nucleolar ribonuclease P complex"
"GO:0051537","Interacting selectively and non-covalently with a 2 iron, 2 sulfur (2Fe-2S) cluster; this cluster consists of two iron atoms, with two inorganic sulfur atoms found between the irons and acting as bridging ligands.","MF","2 iron, 2 sulfur cluster binding"
"GO:0004664","Catalysis of the reaction: prephenate = phenylpyruvate + H2O + CO2.","MF","prephenate dehydratase activity"
"GO:0009094","The chemical reactions and pathways resulting in the formation of L-phenylalanine, the L-enantiomer of 2-amino-3-phenylpropanoic acid, i.e. (2S)-2-amino-3-phenylpropanoic acid.","BP","L-phenylalanine biosynthetic process"
"GO:0006334","The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.","BP","nucleosome assembly"
"GO:0008802","Catalysis of the reaction: betaine aldehyde + NAD+ + H2O = betaine + NADH + H+.","MF","betaine-aldehyde dehydrogenase activity"
"GO:0008812","Catalysis of the reaction: A + choline = AH(2) + betaine aldehyde.","MF","choline dehydrogenase activity"
"GO:0019285","The chemical reactions and pathways resulting in the formation of betaine (N-trimethylglycine) from the oxidation of choline.","BP","glycine betaine biosynthetic process from choline"
"GO:0004364","Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group.","MF","glutathione transferase activity"
"GO:0006749","The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle.","BP","glutathione metabolic process"
"GO:0009407","The chemical reactions and pathways resulting in the breakdown of toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism.","BP","toxin catabolic process"
"GO:0001580","The series of events required for a bitter taste stimulus to be received and converted to a molecular signal.","BP","detection of chemical stimulus involved in sensory perception of bitter taste"
"GO:0050909","The series of events required for an organism to receive a gustatory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Gustation involves the direct detection of chemical composition, usually through contact with chemoreceptor cells. This is a neurological process.","BP","sensory perception of taste"
"GO:0015743","The directed movement of malate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","malate transport"
"GO:0009742","A series of molecular signals mediated by the detection of brassinosteroid.","BP","brassinosteroid mediated signaling pathway"
"GO:0004479","Catalysis of the reaction: 10-formyltetrahydrofolate + L-methionyl-tRNA + H2O = tetrahydrofolate + N-formylmethionyl-tRNA.","MF","methionyl-tRNA formyltransferase activity"
"GO:0016742","Catalysis of the transfer of a hydroxymethyl- or formyl group from one compound (donor) to another (acceptor).","MF","hydroxymethyl-, formyl- and related transferase activity"
"GO:0071951","The modification process that results in the conversion of methionine charged on a tRNA(fMet) to N-formyl-methionine-tRNA(fMet).","BP","conversion of methionyl-tRNA to N-formyl-methionyl-tRNA"
"GO:0004165","Catalysis of the reaction: 3-cis-dodecenoyl-CoA = 2-trans-dodecenoyl-CoA.","MF","dodecenoyl-CoA delta-isomerase activity"
"GO:0009062","The chemical reactions and pathways resulting in the breakdown of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes.","BP","fatty acid catabolic process"
"GO:0036125","A multienzyme complex possessing three kinds of enzymes that catalyze the chain reactions in the fatty acid beta-oxidation cycle, enoyl-CoA hydratase (ECH), 3-hydroxyacyl-CoA dehydrogenase (HACD), and acetyl-CoA C-acyltransferase (KACT).","CC","fatty acid beta-oxidation multienzyme complex"
"GO:1902626",NA,"BP","assembly of large subunit precursor of preribosome"
"GO:0000064","Enables the transfer of L-ornithine from one side of a membrane to the other. L-ornithine is 2,5-diaminopentanoic acid.","MF","L-ornithine transmembrane transporter activity"
"GO:0006839","Transport of substances into, out of or within a mitochondrion.","BP","mitochondrial transport"
"GO:1903352",NA,"BP","L-ornithine transmembrane transport"
"GO:0046677","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an antibiotic stimulus. An antibiotic is a chemical substance produced by a microorganism which has the capacity to inhibit the growth of or to kill other microorganisms.","BP","response to antibiotic"
"GO:0002101","The process in which a cytosine in position 34 of a tRNA is post-transcriptionally modified.","BP","tRNA wobble cytosine modification"
"GO:0051391","The modification of tRNA structure by addition of an acetyl group to tRNA. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid.","BP","tRNA acetylation"
"GO:0051392","Catalysis of the reaction: acetyl-CoA + cytidine = CoA + N4-acetylcytidine. The cytidine is within the polynucleotide chain of a tRNA.","MF","tRNA N-acetyltransferase activity"
"GO:1904812",NA,"BP","rRNA acetylation involved in maturation of SSU-rRNA"
"GO:1990883",NA,"MF","rRNA cytidine N-acetyltransferase activity"
"GO:0010997","Interacting selectively and non-covalently with an anaphase-promoting complex. A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis.","MF","anaphase-promoting complex binding"
"GO:0046621","Any process that stops, prevents, or reduces the frequency, rate or extent of growth of an organ of an organism.","BP","negative regulation of organ growth"
"GO:0032957","The chemical reactions and pathways involving myo-inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with three phosphate groups attached.","BP","inositol trisphosphate metabolic process"
"GO:0047325","Catalysis of the reaction: 1D-myo-inositol 3,4,5,6-tetrakisphosphate + ATP = 1D-myo-inositol 1,3,4,5,6-pentakisphosphate + ADP.","MF","inositol tetrakisphosphate 1-kinase activity"
"GO:0052725","Catalysis of the reaction: 1D-myo-inositol 1,3,4-trisphosphate + ATP = 1D-myo-inositol 1,3,4,6-tetrakisphosphate + ADP + 2 H(+).","MF","inositol-1,3,4-trisphosphate 6-kinase activity"
"GO:0052726","Catalysis of the reaction: 1D-myo-inositol 1,3,4-trisphosphate + ATP = 1D-myo-inositol 1,3,4,5-tetrakisphosphate + ADP + 2 H(+).","MF","inositol-1,3,4-trisphosphate 5-kinase activity"
"GO:0004366","Catalysis of the reaction: acyl-CoA + sn-glycerol 3-phosphate = CoA + 1-acyl-sn-glycerol 3-phosphate.","MF","glycerol-3-phosphate O-acyltransferase activity"
"GO:0102420","Catalysis of the reaction: hexadecanedioyl-CoA + sn-glycerol 3-phosphate = coenzyme A + 1-C16:0-alpha,omega-dicarboxyl-2-lysophosphatidate.","MF","sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity"
"GO:0004826","Catalysis of the reaction: ATP + L-phenylalanine + tRNA(Phe) = AMP + diphosphate + L-phenylalanyl-tRNA(Phe).","MF","phenylalanine-tRNA ligase activity"
"GO:0006432","The process of coupling phenylalanine to phenylalanyl-tRNA, catalyzed by phenylalanyl-tRNA synthetase. The phenylalanyl-tRNA synthetase is a  class-II synthetase. However, unlike other class II enzymes, The activated amino acid is transferred to the 2'-OH group of a phenylalanine-accepting tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.","BP","phenylalanyl-tRNA aminoacylation"
"GO:0009328","An enzyme complex that catalyzes the ligation of phenylalanine to tRNA(Phe), forming L-phenylalanyl-tRNA(Phe).","CC","phenylalanine-tRNA ligase complex"
"GO:0004765","Catalysis of the reaction: ATP + shikimate = 3-phosphoshikimate + ADP + 2 H(+).","MF","shikimate kinase activity"
"GO:0006073","The chemical reactions and pathways involving glucans, polysaccharides consisting only of glucose residues, occurring at the level of an individual cell.","BP","cellular glucan metabolic process"
"GO:0010411","The chemical reactions and pathways involving xyloglucan, the cross-linking glycan composed of (1->4)-beta-D-glucan backbone substituted at regular intervals with beta-D-xylosyl-(1->6) residues, which is present in the primary cell wall of most higher plants.","BP","xyloglucan metabolic process"
"GO:0016762","Catalysis of the cleavage of a beta-(1->4) bond in the backbone of a xyloglucan and transfers the xyloglucanyl segment on to O-4 of the non-reducing terminal glucose residue of an acceptor, which can be a xyloglucan or an oligosaccharide of xyloglucan.","MF","xyloglucan:xyloglucosyl transferase activity"
"GO:0042546","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cell wall. Includes biosynthesis of constituent macromolecules, such as proteins and polysaccharides, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component. A cell wall is the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis.","BP","cell wall biogenesis"
"GO:0008541","The subcomplex of the proteasome regulatory particle that forms the peripheral lid, which is added on top of the base subcomplex.","CC","proteasome regulatory particle, lid subcomplex"
"GO:0043248","The aggregation, arrangement and bonding together of a mature, active proteasome complex.","BP","proteasome assembly"
"GO:0005802","The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination.","CC","trans-Golgi network"
"GO:0010268","Any process involved in the maintenance of an internal steady state of brassinosteroids within an organism or cell.","BP","brassinosteroid homeostasis"
"GO:0016125","The chemical reactions and pathways involving sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.","BP","sterol metabolic process"
"GO:0016132","The chemical reactions and pathways resulting in the formation of brassinosteroids, any of a group of steroid derivatives that occur at very low concentrations in plant tissues and may have hormone-like effects.","BP","brassinosteroid biosynthetic process"
"GO:0005747","A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. It contains about 25 different polypeptide subunits, including NADH dehydrogenase (ubiquinone), flavin mononucleotide and several different iron-sulfur clusters containing non-heme iron. The iron undergoes oxidation-reduction between Fe(II) and Fe(III), and catalyzes proton translocation linked to the oxidation of NADH by ubiquinone.","CC","mitochondrial respiratory chain complex I"
"GO:0009735","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokinin stimulus.","BP","response to cytokinin"
"GO:0050897","Interacting selectively and non-covalently with a cobalt (Co) ion.","MF","cobalt ion binding"
"GO:0006857","The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.","BP","oligopeptide transport"
"GO:0015204","Enables the transfer of urea from one side of a membrane to the other. Urea is the water soluble compound H2N-CO-NH2.","MF","urea transmembrane transporter activity"
"GO:0071918","The process in which urea, the water-soluble compound H2N-CO-NH2, is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.","BP","urea transmembrane transport"
"GO:0009664","A process that results in the assembly and arrangement of constituent parts of the cellulose and pectin-containing cell wall, or in the disassembly of the cellulose and pectin-containing cell wall. This process is carried out at the cellular level. An example of this process is found in Arabidopsis thaliana.","BP","plant-type cell wall organization"
